Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 17:31:18,3,1,7.0,8.5,5.5,3,3.0,5.0,2.5,3,5.5,5.5,3.5,2,2
10/24/2024 17:31:43,3,0,7.0,8.5,7.0,1,3.0,3.0,7.0,3,3.5,5.5,3.5,2,2
10/24/2024 17:32:11,2,0,5.5,8.5,5.5,3,3.0,3.0,4.5,3,5.5,5.5,5.5,1,0
10/24/2024 17:32:36,3,1,5.5,7.5,3.5,3,5.0,1.0,4.5,3,5.5,3.5,5.5,2,2
10/24/2024 17:36:59,3,1,5.5,7.5,7.0,4,5.0,7.0,2.5,2,1.5,1.5,5.5,1,2
10/24/2024 17:37:27,3,1,5.5,7.5,5.5,0,3.0,5.0,4.5,2,5.5,5.5,5.5,3,0
10/24/2024 17:38:22,3,1,3.5,7.5,5.5,3,5.0,3.0,2.5,2,5.5,5.5,7.0,3,0
10/24/2024 17:42:05,3,1,3.5,3.5,7.0,4,7.0,5.0,4.5,3,5.5,7.0,7.0,3,1
10/24/2024 17:44:40,2,1,7.0,8.5,5.5,2,5.0,5.0,2.5,2,5.5,3.5,5.5,1,1
10/24/2024 17:45:17,3,0,5.5,7.5,3.5,3,5.0,5.0,4.5,2,5.5,5.5,3.5,3,1
10/24/2024 17:45:42,3,0,3.5,7.5,5.5,2,5.0,5.0,2.5,4,3.5,5.5,5.5,3,1
10/24/2024 17:50:09,3,0,5.5,7.5,5.5,2,5.0,5.0,4.5,2,3.5,3.5,3.5,1,1
10/24/2024 17:50:35,3,1,7.0,8.5,7.0,2,5.0,5.0,7.0,3,7.0,3.5,5.5,1,1
10/24/2024 17:50:59,2,0,5.5,7.5,3.5,2,5.0,3.0,4.5,3,3.5,5.5,3.5,2,1
10/24/2024 17:53:05,3,0,5.5,8.5,5.5,3,3.0,3.0,4.5,3,5.5,5.5,5.5,2,1
10/24/2024 17:53:28,3,1,5.5,7.5,5.5,2,5.0,5.0,2.5,3,3.5,5.5,5.5,2,1
10/24/2024 17:53:55,4,1,7.0,7.5,5.5,3,5.0,7.0,4.5,2,7.0,7.0,7.0,2,1
10/24/2024 17:57:22,3,1,5.5,8.5,7.0,4,7.0,5.0,4.5,2,3.5,5.5,5.5,2,1
10/24/2024 17:57:48,2,1,5.5,7.5,7.0,1,1.0,3.0,0.3,2,3.5,3.5,3.5,2,1
10/24/2024 18:02:23,3,0,3.5,7.5,1.5,1,1.0,1.0,0.3,1,1.5,1.5,1.5,1,1
10/24/2024 18:02:48,2,0,7.0,7.5,5.5,3,1.0,1.0,0.3,2,3.5,1.5,1.5,2,1
10/24/2024 18:03:13,4,0,5.5,7.5,5.5,1,3.0,3.0,0.3,2,3.5,3.5,3.5,2,1
10/24/2024 18:03:45,2,0,5.5,7.5,7.0,4,3.0,5.0,2.5,3,3.5,3.5,5.5,2,1
10/24/2024 18:04:13,3,0,5.5,7.5,5.5,3,3.0,3.0,4.5,3,5.5,5.5,5.5,2,1
10/24/2024 18:05:24,4,0,7.0,8.5,7.0,4,3.0,7.0,2.5,3,3.5,5.5,3.5,2,1
10/24/2024 18:06:00,4,0,3.5,7.5,5.5,2,3.0,5.0,4.5,3,5.5,5.5,5.5,2,1
10/24/2024 18:11:45,4,0,7.0,7.5,7.0,3,7.0,5.0,4.5,2,5.5,5.5,5.5,1,1
